geoid,year,qoz_2018,population,population_source_code,poverty_universe,poverty_universe_source_code,poverty_count,poverty_count_source_code,median_household_income,median_household_income_source_code,median_gross_rent,median_gross_rent_source_code,civilian_labor_force,civilian_labor_force_source_code,unemployed,unemployed_source_code,workplace_jobs
25005615100,2018,0,7571,,7513,,245,,93897,,967,,4601,,178,,1623
25005615100,2019,0,7730,,7683,,177,,87852,,967,,4591,,118,,1762
25005616100,2018,0,6679,,6657,,125,,94516,,,-666666666,3894,,50,,746
25005616100,2019,0,6730,,6708,,169,,103182,,,-666666666,3811,,78,,810
25005617101,2018,0,4963,,4847,,315,,99615,,1494,,2911,,114,,5690
25005617101,2019,0,5134,,5011,,400,,96673,,1504,,2917,,100,,3715
25005617102,2018,0,4288,,4263,,186,,81798,,1059,,2491,,135,,1287
25005617102,2019,0,4165,,4141,,120,,82405,,1136,,2354,,168,,1047
25005630101,2018,1,2904,,2897,,556,,52741,,1110,,1661,,46,,176
25005630101,2019,1,3111,,3111,,508,,54762,,1125,,1878,,36,,215
25005630102,2018,1,4292,,4162,,431,,58362,,1043,,2665,,186,,1739
25005630102,2019,1,4428,,4301,,491,,54618,,1005,,2602,,184,,1799
25005630200,2018,0,8055,,8055,,654,,116836,,1188,,4742,,144,,0
25005630200,2019,0,8099,,8054,,667,,120753,,1159,,4764,,120,,0
25005630300,2018,0,8877,,8877,,488,,105774,,871,,5021,,142,,0
25005630300,2019,0,8683,,8683,,510,,113414,,874,,4902,,157,,0
25005630400,2018,0,4988,,4980,,247,,90393,,1081,,2748,,137,,3227
25005630400,2019,0,4859,,4852,,217,,94977,,1128,,2720,,70,,3167
25005631100,2018,0,7704,,7687,,528,,58990,,882,,4306,,310,,0
25005631100,2019,0,7543,,7525,,499,,57570,,862,,3887,,299,,0
25005631200,2018,0,7897,,7883,,430,,94600,,806,,4324,,288,,2755
25005631200,2019,0,8054,,8036,,459,,96223,,855,,4317,,270,,3352
25005631300,2018,0,4783,,4783,,189,,96708,,984,,2723,,156,,1068
25005631300,2019,0,4677,,4677,,260,,95542,,1086,,2847,,123,,1060
25005631400,2018,0,2868,,2858,,738,,42557,,1063,,1472,,155,,2572
25005631400,2019,0,2649,,2639,,494,,44643,,1122,,1356,,114,,2587
25005631500,2018,0,3010,,3010,,325,,72949,,1356,,1791,,103,,619
25005631500,2019,0,3019,,3019,,426,,75000,,1406,,1907,,110,,579
25005631600,2018,0,3879,,3750,,529,,55947,,1049,,2164,,198,,2814
25005631600,2019,0,3960,,3825,,542,,56652,,1015,,2053,,123,,2779
25005631700,2018,0,6824,,6627,,718,,100882,,958,,3766,,105,,3373
25005631700,2019,0,7041,,6829,,807,,94975,,948,,3792,,111,,3176
25005631800,2018,0,7583,,7424,,446,,81029,,1039,,4398,,85,,812
25005631800,2019,0,7846,,7685,,299,,83654,,1085,,4569,,36,,888
25005632100,2018,0,6829,,6801,,186,,89574,,1428,,3734,,144,,1770
25005632100,2019,0,6731,,6703,,215,,92679,,1270,,3830,,120,,1682
25005632200,2018,0,8381,,8381,,539,,88359,,897,,4865,,198,,6619
25005632200,2019,0,8710,,8710,,603,,88768,,1053,,4966,,143,,6586
25005633100,2018,0,5719,,5711,,193,,97464,,1325,,3218,,130,,916
25005633100,2019,0,5764,,5757,,146,,112813,,1223,,3394,,147,,992
25005633200,2018,0,6363,,6271,,81,,106667,,1130,,3958,,34,,758
25005633200,2019,0,6409,,6309,,65,,120270,,1176,,3968,,58,,803
25005640100,2018,0,4935,,4935,,773,,45625,,793,,2469,,214,,2225
25005640100,2019,0,5063,,5063,,770,,48767,,812,,2504,,310,,2285
25005640200,2018,0,6142,,5993,,1527,,30097,,710,,3026,,415,,0
25005640200,2019,0,6154,,6018,,1723,,29479,,714,,2754,,335,,0
25005640300,2018,0,3927,,3927,,1191,,30614,,635,,1500,,143,,816
25005640300,2019,0,3977,,3977,,1232,,34440,,637,,1558,,123,,864
25005640400,2018,0,2693,,2678,,369,,40949,,820,,1250,,92,,392
25005640400,2019,0,2775,,2775,,370,,41373,,954,,1258,,118,,309
25005640500,2018,0,5065,,5056,,887,,45609,,771,,2610,,214,,2772
25005640500,2019,0,4980,,4967,,805,,47594,,811,,2509,,193,,2821
25005640600,2018,0,4366,,4278,,653,,43971,,761,,1985,,66,,314
25005640600,2019,0,4463,,4387,,765,,42500,,772,,1995,,67,,348
25005640700,2018,0,2721,,2713,,340,,54189,,930,,1381,,100,,260
25005640700,2019,0,2643,,2643,,348,,51207,,873,,1441,,195,,241
25005640800,2018,0,3977,,3977,,535,,54779,,788,,2334,,142,,2440
25005640800,2019,0,3837,,3837,,516,,57788,,848,,2103,,148,,2248
25005640901,2018,0,5986,,5862,,1683,,34692,,834,,2409,,325,,522
25005640901,2019,0,5870,,5812,,1389,,44842,,848,,2217,,196,,545
25005641000,2018,0,2408,,2408,,809,,22624,,648,,833,,69,,728
25005641000,2019,0,2408,,2398,,706,,24382,,756,,869,,89,,714
25005641101,2018,1,1692,,1692,,435,,17632,,610,,578,,20,,4094
25005641101,2019,1,1571,,1571,,524,,16935,,613,,520,,22,,3747
25005641200,2018,1,3205,,3194,,781,,32250,,750,,1474,,71,,3554
25005641200,2019,1,3270,,3261,,814,,31484,,801,,1473,,118,,3443
25005641300,2018,0,5394,,5383,,1509,,38739,,766,,2789,,317,,462
25005641300,2019,0,5446,,5434,,1754,,31589,,787,,2728,,305,,427
25005641400,2018,0,2596,,2545,,607,,26250,,746,,1120,,145,,311
25005641400,2019,0,2714,,2648,,622,,26304,,775,,1277,,101,,295
25005641500,2018,0,2273,,2273,,227,,39665,,686,,1265,,79,,190
25005641500,2019,0,2392,,2392,,319,,41563,,731,,1359,,147,,216
25005641600,2018,0,1994,,1994,,270,,45921,,936,,1075,,105,,773
25005641600,2019,0,2110,,2110,,328,,44783,,895,,1127,,93,,804
25005641700,2018,0,5064,,4834,,469,,58482,,748,,2480,,222,,1201
25005641700,2019,0,5132,,4932,,436,,65357,,815,,2613,,167,,1106
25005641800,2018,0,2020,,1988,,281,,54835,,825,,1252,,58,,3736
25005641800,2019,0,1863,,1831,,283,,52944,,835,,1166,,52,,4251
25005641900,2018,0,2054,,2054,,490,,34286,,762,,1103,,161,,151
25005641900,2019,0,2104,,2096,,448,,40991,,813,,1098,,130,,168
25005642000,2018,1,2802,,2802,,922,,22724,,727,,1254,,153,,1105
25005642000,2019,1,2687,,2687,,952,,23775,,732,,1192,,108,,1234
25005642100,2018,0,3926,,3926,,407,,54163,,1104,,2224,,148,,808
25005642100,2019,0,3802,,3802,,454,,49543,,1131,,2054,,162,,832
25005642200,2018,0,4304,,3858,,1112,,45135,,787,,1781,,235,,1421
25005642200,2019,0,4335,,3899,,1092,,49042,,768,,1809,,206,,1339
25005642300,2018,0,2144,,2086,,117,,93163,,1175,,1243,,87,,244
25005642300,2019,0,2051,,2012,,60,,97460,,1302,,1234,,79,,157
25005642400,2018,0,2929,,2921,,330,,54727,,910,,1554,,102,,1012
25005642400,2019,0,3045,,3037,,338,,57782,,846,,1675,,76,,1071
25005642500,2018,0,4722,,4500,,336,,78077,,1291,,2502,,87,,6353
25005642500,2019,0,4696,,4475,,262,,81250,,1283,,2554,,63,,6018
25005644101,2018,0,6130,,6098,,180,,75958,,1152,,3490,,189,,739
25005644101,2019,0,6127,,6085,,175,,80519,,1170,,3398,,132,,752
25005644102,2018,0,5307,,5307,,268,,86087,,1194,,2742,,178,,771
25005644102,2019,0,5165,,5165,,195,,90744,,1184,,2529,,98,,814
25005644200,2018,1,6770,,6513,,422,,73029,,951,,3432,,234,,3417
25005644200,2019,1,6873,,6616,,332,,86167,,1043,,3556,,83,,3498
25005645101,2018,0,4679,,4554,,439,,69902,,965,,2456,,235,,453
25005645101,2019,0,4939,,4894,,490,,72625,,,-666666666,2597,,222,,428
25005645102,2018,0,5944,,5877,,210,,86667,,649,,3224,,91,,1151
25005645102,2019,0,5799,,5724,,191,,89750,,647,,3151,,76,,1167
25005645103,2018,0,5839,,5757,,106,,95205,,959,,3419,,39,,3669
25005645103,2019,0,5829,,5749,,89,,97867,,939,,3471,,131,,3405
25005646101,2018,0,7526,,7432,,428,,69067,,1045,,4002,,107,,1931
25005646101,2019,0,7515,,7421,,509,,68616,,1052,,3927,,71,,1962
25005646103,2018,0,5651,,5651,,227,,86339,,1117,,3148,,154,,1389
