GEO_ID|B08301_E001|B08301_M001|B08301_E002|B08301_M002|B08301_E003|B08301_M003|B08301_E004|B08301_M004|B08301_E005|B08301_M005|B08301_E006|B08301_M006|B08301_E007|B08301_M007|B08301_E008|B08301_M008|B08301_E009|B08301_M009|B08301_E010|B08301_M010|B08301_E011|B08301_M011|B08301_E012|B08301_M012|B08301_E013|B08301_M013|B08301_E014|B08301_M014|B08301_E015|B08301_M015|B08301_E016|B08301_M016|B08301_E017|B08301_M017|B08301_E018|B08301_M018|B08301_E019|B08301_M019|B08301_E020|B08301_M020|B08301_E021|B08301_M021
1400000US25017317102|2452|515|1818|227|1749|223|69|59|67|59|2|4|0|19|0|19|0|19|25|24|10|16|8|13|7|11|0|19|0|19|0|19|0|19|0|19|49|41|0|19|560|426
1400000US25017317103|2458|240|1732|220|1669|217|63|39|38|25|18|21|0|14|7|11|0|14|46|69|0|14|0|14|46|69|0|14|0|14|0|14|24|34|0|14|66|59|28|29|562|109
1400000US25017317201|1453|133|1195|127|1139|133|56|41|46|44|10|14|0|14|0|14|0|14|16|18|0|14|0|14|11|16|5|10|0|14|0|14|0|14|0|14|7|10|0|14|235|103
1400000US25017317202|2147|553|1565|553|1488|550|77|51|77|51|0|14|0|14|0|14|0|14|10|16|0|14|0|14|10|16|0|14|0|14|0|14|0|14|0|14|0|14|12|18|560|180
1400000US25017317203|2224|344|1592|219|1510|214|82|54|34|32|16|22|0|14|32|46|0|14|17|20|0|14|11|18|6|9|0|14|0|14|0|14|0|14|0|14|43|42|0|14|572|289
1400000US25017317301|1817|645|1511|498|1449|493|62|48|51|44|0|14|0|14|11|17|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|56|52|250|162
1400000US25017317302|2965|365|2419|367|2217|367|202|123|143|117|59|95|0|19|0|19|0|19|94|112|0|19|94|112|0|19|0|19|0|19|0|19|0|19|0|19|16|25|41|58|395|172
1400000US25017318100|3555|359|2546|364|2265|346|281|132|256|131|25|37|0|19|0|19|0|19|127|84|42|48|0|19|85|70|0|19|0|19|0|19|0|19|0|19|0|19|33|37|849|234
1400000US25017318200|2747|268|2128|242|2026|257|102|63|102|63|0|14|0|14|0|14|0|14|17|15|0|14|0|14|17|15|0|14|0|14|6|10|0|14|0|14|15|18|0|14|581|165
1400000US25017318300|4390|527|3170|595|3123|594|47|37|33|38|0|19|0|19|14|24|0|19|52|40|21|25|0|19|31|34|0|19|0|19|0|19|0|19|0|19|58|49|55|54|1055|210
1400000US25017318400|2234|198|1591|175|1266|169|325|144|251|126|64|55|0|14|10|15|0|14|6|10|0|14|6|10|0|14|0|14|0|14|0|14|0|14|0|14|0|14|36|37|601|142
1400000US25017320102|3083|323|1905|283|1857|283|48|33|25|32|23|26|0|19|0|19|0|19|70|43|0|19|0|19|70|43|0|19|0|19|0|19|0|19|0|19|24|27|12|19|1072|267
1400000US25017320105|1284|179|801|137|780|135|21|21|21|21|0|14|0|14|0|14|0|14|26|24|13|20|0|14|13|16|0|14|0|14|0|14|0|14|0|14|0|14|0|14|457|141
