GEO_ID|B01003_E001|B01003_M001
1400000US25017338100|3284|463
1400000US25017338200|4067|435
1400000US25017338300|3483|338
1400000US25017338400|6024|475
1400000US25017338500|6004|578
1400000US25017339101|3091|427
1400000US25017339102|3348|411
1400000US25017339200|5719|629
1400000US25017339300|3069|478
1400000US25017339400|3821|924
1400000US25017339500|5506|543
1400000US25017339600|5174|877
1400000US25017339700|3675|455
1400000US25017339802|4769|568
1400000US25017339803|3812|623
1400000US25017339804|2580|622
1400000US25017339900|5174|714
1400000US25017340000|2701|475
1400000US25017340100|6623|783
1400000US25017341101|4092|699
1400000US25017341102|5593|977
1400000US25017341200|6969|969
1400000US25017341301|4290|571
1400000US25017341302|2584|708
1400000US25017341400|6715|986
1400000US25017341500|4775|813
1400000US25017341600|6472|793
1400000US25017341700|6144|958
1400000US25017341800|6435|836
1400000US25017341901|1138|161
1400000US25017341903|7110|895
1400000US25017341904|3192|485
1400000US25017342101|5487|928
1400000US25017342102|4870|612
1400000US25017342201|5646|1121
1400000US25017342202|3931|578
1400000US25017342301|3903|1081
1400000US25017342302|3624|574
1400000US25017342401|3674|631
1400000US25017342402|4362|1076
1400000US25017342501|4703|638
1400000US25017342502|3442|1034
1400000US25017342600|5594|805
1400000US25017350105|1271|146
1400000US25017350106|2165|283
1400000US25017350107|1334|334
1400000US25017350108|3814|582
1400000US25017350109|2500|659
1400000US25017350201|3060|575
1400000US25017350202|4118|606
1400000US25017350300|2931|396
1400000US25017350400|5970|1015
1400000US25017350500|1655|224
1400000US25017350600|4908|373
1400000US25017350701|2872|433
1400000US25017350702|3345|548
1400000US25017350800|1972|231
1400000US25017350900|3723|409
1400000US25017351001|4045|614
1400000US25017351002|2739|446
1400000US25017351101|3373|462
1400000US25017351102|2081|565
1400000US25017351203|4290|597
1400000US25017351204|3981|448
1400000US25017351300|4394|643
1400000US25017351403|3822|506
1400000US25017351404|3669|445
1400000US25017351500|2517|365
1400000US25017352101|3428|406
1400000US25017352102|2849|602
1400000US25017352200|1894|393
1400000US25017352300|4678|503
1400000US25017352400|1801|285
1400000US25017352500|2980|410
1400000US25017352600|3091|478
1400000US25017352700|2102|396
1400000US25017352800|1887|347
1400000US25017352900|3143|429
1400000US25017353000|2923|400
1400000US25017353101|3747|388
1400000US25017353102|5151|128
1400000US25017353200|5129|424
1400000US25017353300|4232|631
1400000US25017353600|4966|473
1400000US25017353700|5646|532
1400000US25017353800|4320|622
1400000US25017353900|5761|434
1400000US25017354000|4733|531
1400000US25017354100|2306|253
1400000US25017354200|3336|480
1400000US25017354300|3450|427
1400000US25017354400|1870|244
1400000US25017354500|2027|361
1400000US25017354601|1731|233
1400000US25017354602|4402|765
1400000US25017354700|2926|313
1400000US25017354800|2319|369
1400000US25017354901|3112|596
1400000US25017354902|5482|800
1400000US25017355000|3299|465
1400000US25017356100|3646|457
1400000US25017356300|5546|630
1400000US25017356400|7507|758
1400000US25017356500|7276|645
1400000US25017356601|4198|392
1400000US25017356602|4414|605
1400000US25017356701|6285|572
1400000US25017356703|3154|427
1400000US25017356704|3989|506
1400000US25017357100|5103|436
1400000US25017357200|3154|331
1400000US25017357300|3295|323
1400000US25017357400|2421|265
1400000US25017357500|2369|297
1400000US25017357600|2729|394
1400000US25017357700|4040|348
1400000US25017357800|3898|492
1400000US25017358100|5145|464
1400000US25017358300|6061|593
1400000US25017358400|4921|471
1400000US25017358500|5785|554
1400000US25017358600|6245|652
1400000US25017358700|5928|585
1400000US25017359100|6782|517
1400000US25017359301|0|14
1400000US25017359302|0|14
1400000US25017359303|7561|515
1400000US25017359400|7073|503
1400000US25017360300|6946|54
1400000US25017361100|5975|636
1400000US25017361200|6189|604
1400000US25017361300|6062|490
1400000US25017362100|5209|20
1400000US25017363103|3211|315
1400000US25017363104|6300|619
1400000US25017363105|4316|911
1400000US25017363106|3011|294
1400000US25017363201|3341|445
1400000US25017363202|3782|377
1400000US25017364101|6043|505
1400000US25017364102|4620|504
1400000US25017365100|8064|642
1400000US25017365201|6226|689
1400000US25017365202|4777|389
1400000US25017366100|4643|363
1400000US25017366201|3628|477
1400000US25017366202|5555|488
1400000US25017367100|4620|445
1400000US25017367200|6823|449
1400000US25017368101|5727|585
1400000US25017368102|5078|972
1400000US25017368200|3764|467
1400000US25017368300|5992|855
1400000US25017368400|8161|660
1400000US25017368500|3405|416
1400000US25017368600|5961|751
1400000US25017368700|2483|450
1400000US25017368800|5786|586
1400000US25017368901|6111|935
1400000US25017368902|3625|546
1400000US25017369000|3626|48
1400000US25017369100|5004|471
1400000US25017370101|6583|713
1400000US25017370103|3344|612
1400000US25017370104|4343|677
1400000US25017370201|4321|547
1400000US25017370202|3455|298
1400000US25017370301|4159|511
1400000US25017370302|1976|531
1400000US25017370401|3688|532
1400000US25017370402|1431|191
1400000US25017370403|1970|281
1400000US25017373100|5323|649
1400000US25017373200|5223|515
1400000US25017373300|3027|413
1400000US25017373400|3459|618
1400000US25017373500|6216|438
1400000US25017373600|6083|341
1400000US25017373700|3713|440
1400000US25017373800|6139|652
1400000US25017373901|3066|447
1400000US25017373902|3678|628
1400000US25017374000|4337|660
1400000US25017374100|5251|566
1400000US25017374200|4068|618
1400000US25017374300|3788|431
1400000US25017374400|5639|493
1400000US25017374500|4686|442
1400000US25017374600|5314|490
1400000US25017374700|4421|537
1400000US25017374800|5073|464
1400000US25017382100|4926|515
1400000US25017382200|5229|600
